schoolnames,schoolurls,schoolwins,year,games,overallwins,overalllosses,winlosspct,srs,sos,wins_conf,losses_conf,wins_home,losses_home,wins_visitor,losses_visitor,pts,opp_pts,pace,off_rtg,fta_per_fga_pct,fg3a_per_fga_pct,ts_pct,trb_pct,ast_pct,stl_pct,blk_pct,efg_pct,tov_pct,orb_pct,ft_rate0
George Washington,https://www.sports-reference.com/cbb/schools/george-washington/2006.html,1,2006,30,27,3,0.9,9.63,-0.33,16,0,15,0,10,1,2360,2026,,,0.416,0.282,0.543,52.4,60.5,,8,0.516,16.2,,0.269
Georgetown,https://www.sports-reference.com/cbb/schools/georgetown/2006.html,2,2006,33,23,10,0.697,13.98,6.92,10,6,11,2,7,6,2177,1944,,,0.32,0.373,0.562,53.1,65.3,,7,0.534,16.4,,0.226
Gonzaga,https://www.sports-reference.com/cbb/schools/gonzaga/2006.html,2,2006,33,29,4,0.879,12.32,5.02,14,0,17,0,8,2,2643,2402,,,0.454,0.266,0.579,52.5,51.2,,4.7,0.526,16,,0.355
Hampton,https://www.sports-reference.com/cbb/schools/hampton/2006.html,0,2006,32,16,16,0.5,-10.17,-12.56,10,8,7,7,5,8,2120,2047,,,0.368,0.305,0.49,53,51.2,,5.9,0.462,19.3,,0.228
Illinois,https://www.sports-reference.com/cbb/schools/illinois/2006.html,1,2006,33,26,7,0.788,17.2,6.29,11,5,15,1,5,4,2311,1937,,,0.314,0.36,0.543,54.5,59,,4.8,0.523,16,,0.202
Indiana,https://www.sports-reference.com/cbb/schools/indiana/2006.html,1,2006,31,19,12,0.613,12.1,7.36,9,7,10,3,5,7,2231,2084,,,0.302,0.404,0.564,50.8,58.5,,4.2,0.54,18.4,,0.209
Iona,https://www.sports-reference.com/cbb/schools/iona/2006.html,0,2006,31,23,8,0.742,6.86,-0.78,13,5,7,4,11,2,2475,2238,,,0.408,0.266,0.565,51.7,54.6,,7,0.534,17.6,,0.282
Iowa,https://www.sports-reference.com/cbb/schools/iowa/2006.html,0,2006,34,25,9,0.735,14.18,6.8,11,5,17,0,4,7,2254,2003,,,0.39,0.315,0.525,52.4,64.3,,8.7,0.484,19.1,,0.277
Kansas,https://www.sports-reference.com/cbb/schools/kansas/2006.html,0,2006,33,25,8,0.758,20.02,7.6,13,3,14,2,6,2,2480,2024,,,0.349,0.28,0.553,53.6,64.6,,9.8,0.528,18.7,,0.235
Kent State,https://www.sports-reference.com/cbb/schools/kent-state/2006.html,0,2006,34,25,9,0.735,6.27,0,15,3,12,2,8,5,2458,2239,,,0.395,0.35,0.548,52,53.6,,4.8,0.51,16.8,,0.282
Kentucky,https://www.sports-reference.com/cbb/schools/kentucky/2006.html,1,2006,35,22,13,0.629,13.12,8.88,9,7,10,5,5,4,2477,2316,,,0.298,0.375,0.537,52.1,54.8,,5.4,0.513,16.8,,0.201
Louisiana State,https://www.sports-reference.com/cbb/schools/louisiana-state/2006.html,4,2006,36,27,9,0.75,17.54,8.77,14,2,14,2,7,4,2633,2299,,,0.376,0.217,0.534,55.4,56.3,,11,0.5,18.4,,0.259
Marquette,https://www.sports-reference.com/cbb/schools/marquette/2006.html,0,2006,31,20,11,0.645,11.33,8.16,10,6,14,2,3,7,2325,2150,,,0.301,0.364,0.558,49.9,58.1,,5.1,0.527,18,,0.221
Memphis,https://www.sports-reference.com/cbb/schools/memphis/2006.html,3,2006,37,33,4,0.892,18.81,4.24,13,1,19,1,10,1,2961,2422,,,0.394,0.342,0.544,54.4,54.7,,11.2,0.512,17.5,,0.269
Michigan State,https://www.sports-reference.com/cbb/schools/michigan-state/2006.html,0,2006,34,22,12,0.647,12.24,7.27,8,8,12,2,4,7,2520,2334,,,0.362,0.287,0.572,53.9,63.3,,5.3,0.531,17.8,,0.279
Milwaukee,https://www.sports-reference.com/cbb/schools/milwaukee/2006.html,1,2006,31,22,9,0.71,7.65,1.47,12,4,13,2,8,6,2294,2061,,,0.392,0.332,0.528,54.1,48.8,,5.4,0.491,16.2,,0.271
Monmouth,https://www.sports-reference.com/cbb/schools/monmouth/2006.html,1,2006,34,19,15,0.559,-2.99,-4.05,12,6,8,4,9,8,2191,2155,,,0.334,0.361,0.53,47,63.8,,6.4,0.502,19.8,,0.224
Montana,https://www.sports-reference.com/cbb/schools/montana/2006.html,1,2006,31,24,7,0.774,4.86,-0.96,10,4,13,1,8,5,2449,2202,,,0.367,0.331,0.586,52.4,64.5,,5.4,0.556,17.1,,0.263
Murray State,https://www.sports-reference.com/cbb/schools/murray-state/2006.html,0,2006,31,24,7,0.774,4.16,-5.07,17,3,14,1,8,4,2203,1901,,,0.305,0.363,0.536,52,60,,8.9,0.514,15.8,,0.199
Nevada,https://www.sports-reference.com/cbb/schools/nevada/2006.html,0,2006,33,27,6,0.818,10.16,2.26,13,3,17,1,10,3,2401,2103,,,0.359,0.261,0.54,53,59.4,,8.3,0.503,16.1,,0.258
North Carolina State,https://www.sports-reference.com/cbb/schools/north-carolina-state/2006.html,1,2006,32,22,10,0.688,12.7,5.63,10,6,15,3,5,5,2383,2157,,,0.398,0.456,0.588,47.8,63.1,,8.1,0.55,17.6,,0.299
North Carolina-Wilmington,https://www.sports-reference.com/cbb/schools/north-carolina-wilmington/2006.html,0,2006,33,25,8,0.758,8.9,0.57,15,3,12,1,8,6,2250,1975,,,0.322,0.342,0.523,51.4,62.7,,3.3,0.49,16.1,,0.225
North Carolina,https://www.sports-reference.com/cbb/schools/north-carolina/2006.html,1,2006,31,23,8,0.742,18.48,7.77,12,4,14,5,8,2,2460,2128,,,0.405,0.317,0.57,55.6,64,,6.7,0.536,19.2,,0.287
Northern Iowa,https://www.sports-reference.com/cbb/schools/northern-iowa/2006.html,0,2006,33,23,10,0.697,11.55,5.13,11,7,12,3,7,5,2165,1907,,,0.366,0.386,0.555,51.1,58.2,,6.9,0.52,17.1,,0.264
Northwestern State,https://www.sports-reference.com/cbb/schools/northwestern-state/2006.html,1,2006,34,26,8,0.765,4.01,-1.38,15,1,14,0,10,6,2573,2365,,,0.393,0.311,0.547,51.2,64.4,,6,0.518,18.5,,0.262
Ohio State,https://www.sports-reference.com/cbb/schools/ohio-state/2006.html,1,2006,32,26,6,0.813,16.08,5.9,12,4,16,1,6,3,2363,2037,,,0.338,0.401,0.568,49.5,58.9,,4.7,0.538,15.4,,0.243
Oklahoma,https://www.sports-reference.com/cbb/schools/oklahoma/2006.html,0,2006,29,20,9,0.69,11.89,6.79,11,5,14,1,6,5,1995,1847,,,0.344,0.306,0.541,56.9,59.1,,6.8,0.506,18.2,,0.245
Oral Roberts,https://www.sports-reference.com/cbb/schools/oral-roberts/2006.html,0,2006,33,21,12,0.636,3.23,-2.35,13,3,10,2,6,8,2472,2248,,,0.391,0.297,0.554,53.4,61,,7.5,0.518,17.5,,0.277
Pacific,https://www.sports-reference.com/cbb/schools/pacific/2006.html,0,2006,32,24,8,0.75,6.93,-1.57,12,2,11,3,9,4,2377,2047,,,0.339,0.314,0.581,52.8,59.9,,3.7,0.548,17,,0.253
Pennsylvania,https://www.sports-reference.com/cbb/schools/pennsylvania/2006.html,0,2006,29,20,9,0.69,6.01,-2.31,12,2,12,4,8,4,1987,1744,,,0.345,0.381,0.535,48.6,58.2,,5.4,0.507,17.1,,0.233
Pittsburgh,https://www.sports-reference.com/cbb/schools/pittsburgh/2006.html,1,2006,33,25,8,0.758,16.37,7.01,10,6,16,1,5,5,2391,2082,,,0.396,0.318,0.546,55.4,64.4,,6.9,0.512,17.1,,0.274
San Diego State,https://www.sports-reference.com/cbb/schools/san-diego-state/2006.html,0,2006,33,24,9,0.727,9.81,3.65,13,3,13,2,7,5,2456,2223,,,0.421,0.305,0.561,52.9,51.5,,5.3,0.521,18.5,,0.306
Seton Hall,https://www.sports-reference.com/cbb/schools/seton-hall/2006.html,0,2006,30,18,12,0.6,6.78,6.11,9,7,13,4,5,6,2033,2013,,,0.377,0.308,0.51,51.4,53.9,,4.9,0.461,16.8,,0.281
South Alabama,https://www.sports-reference.com/cbb/schools/south-alabama/2006.html,0,2006,31,24,7,0.774,4.88,-2.18,12,3,12,2,9,4,2283,2033,,,0.341,0.414,0.558,50.2,54.7,,2.6,0.529,16.9,,0.24
Southern Illinois,https://www.sports-reference.com/cbb/schools/southern-illinois/2006.html,0,2006,33,22,11,0.667,8.93,4.62,12,6,11,2,7,7,1994,1864,,,0.338,0.32,0.501,50.7,57.1,,7,0.466,19.2,,0.232
Southern,https://www.sports-reference.com/cbb/schools/southern/2006.html,0,2006,32,20,13,0.606,-5.97,-6.69,15,3,11,0,6,11,2093,2070,,,0.323,0.249,0.505,52.2,49.7,,6.6,0.478,21.3,,0.209
Syracuse,https://www.sports-reference.com/cbb/schools/syracuse/2006.html,0,2006,35,23,12,0.657,11.68,8.16,7,9,14,5,3,5,2535,2412,,,0.335,0.368,0.525,50.4,59.3,,10.8,0.501,18.1,,0.216
Tennessee,https://www.sports-reference.com/cbb/schools/tennessee/2006.html,1,2006,30,22,8,0.733,14.73,7.76,12,4,13,2,7,3,2413,2204,,,0.332,0.369,0.563,48,59.3,,5.7,0.535,15.3,,0.233
Texas A&M,https://www.sports-reference.com/cbb/schools/texas-am/2006.html,1,2006,31,22,9,0.71,13.19,4.77,10,6,16,2,4,5,2130,1869,,,0.431,0.346,0.543,49.4,70.2,,6.4,0.508,17.5,,0.293
Texas,https://www.sports-reference.com/cbb/schools/texas/2006.html,3,2006,37,30,7,0.811,21.89,6.99,13,3,16,1,7,3,2781,2230,,,0.352,0.339,0.559,57.5,55.8,,8.9,0.524,16.7,,0.256
UCLA,https://www.sports-reference.com/cbb/schools/ucla/2006.html,5,2006,39,32,7,0.821,17.34,8.27,14,4,14,3,8,2,2642,2288,,,0.384,0.343,0.562,53.6,57.6,,5.5,0.532,19.3,,0.266
Utah State,https://www.sports-reference.com/cbb/schools/utah-state/2006.html,0,2006,32,23,9,0.719,7.76,1.79,11,5,14,2,7,6,2307,2070,,,0.298,0.338,0.59,52,64.7,,5,0.565,17.7,,0.215
Villanova,https://www.sports-reference.com/cbb/schools/villanova/2006.html,3,2006,33,28,5,0.848,19.51,9.23,14,2,12,1,10,2,2449,2107,,,0.369,0.396,0.536,50.7,49.8,,9,0.491,13.9,,0.28
Washington,https://www.sports-reference.com/cbb/schools/washington/2006.html,2,2006,33,26,7,0.788,18.08,5.96,13,5,17,2,6,3,2706,2306,,,0.334,0.288,0.56,54.3,53.9,,6.1,0.523,16.7,,0.25
West Virginia,https://www.sports-reference.com/cbb/schools/west-virginia/2006.html,2,2006,33,22,11,0.667,14.51,8.54,11,5,13,2,5,4,2334,2093,,,0.234,0.516,0.56,42.4,69,,5.1,0.535,12.1,,0.174
Wichita State,https://www.sports-reference.com/cbb/schools/wichita-state/2006.html,2,2006,35,26,9,0.743,11.45,4.72,14,4,14,2,8,3,2422,2165,,,0.368,0.341,0.542,54,62.2,,3.3,0.503,16.7,,0.266
Winthrop,https://www.sports-reference.com/cbb/schools/winthrop/2006.html,0,2006,31,23,8,0.742,6.28,-4.93,13,3,15,1,7,6,2276,1897,,,0.402,0.379,0.551,54,63,,6.3,0.517,17.5,,0.278
Wisconsin,https://www.sports-reference.com/cbb/schools/wisconsin/2006.html,0,2006,31,19,12,0.613,13.14,7.24,9,7,14,2,2,8,2205,2035,,,0.381,0.319,0.52,51.2,54.3,,6,0.487,14.5,,0.253
Xavier,https://www.sports-reference.com/cbb/schools/xavier/2006.html,0,2006,32,21,11,0.656,10.11,1.99,8,8,15,4,5,5,2290,2030,,,0.423,0.349,0.566,51.8,64.5,,8.5,0.526,16.8,,0.306
Albany (NY),https://www.sports-reference.com/cbb/schools/albany-ny/2007.html,0,2007,33,23,10,0.697,-1.6,-4.75,13,3,11,2,11,7,2241,2147,,,0.329,0.344,0.55,52.2,54.6,,4.8,0.517,17.7,,0.237
Arizona,https://www.sports-reference.com/cbb/schools/arizona/2007.html,0,2007,31,20,11,0.645,16.24,10.76,11,7,11,5,7,4,2417,2247,,,0.416,0.285,0.57,54.1,60.4,,5.3,0.527,16.8,,0.312
Arkansas,https://www.sports-reference.com/cbb/schools/arkansas/2007.html,0,2007,35,21,14,0.6,13.77,8.75,7,9,13,3,2,8,2487,2311,,,0.382,0.321,0.551,51.8,59.1,,11,0.517,19.1,,0.269
Belmont,https://www.sports-reference.com/cbb/schools/belmont/2007.html,0,2007,33,23,10,0.697,-0.39,-4.71,14,4,9,2,10,6,2390,2128,,,0.32,0.442,0.565,51.9,60.5,,5.5,0.54,20,,0.221
Boston College,https://www.sports-reference.com/cbb/schools/boston-college/2007.html,1,2007,33,21,12,0.636,13.76,9.21,10,6,14,4,5,6,2453,2303,,,0.449,0.319,0.573,51.2,57.4,,9.6,0.533,17.5,,0.325
Brigham Young,https://www.sports-reference.com/cbb/schools/brigham-young/2007.html,0,2007,34,25,9,0.735,11.38,3.95,13,3,17,0,6,7,2654,2347,,,0.347,0.311,0.575,54.5,55.8,,6.2,0.555,16.5,,0.229
Butler,https://www.sports-reference.com/cbb/schools/butler/2007.html,2,2007,36,29,7,0.806,14.34,3.94,13,3,14,2,8,4,2434,2056,,,0.406,0.486,0.569,48.8,56,,3.8,0.525,13.8,,0.309
Central Connecticut State,https://www.sports-reference.com/cbb/schools/central-connecticut-state/2007.html,0,2007,34,22,12,0.647,-3.63,-6.48,16,2,13,4,9,5,2344,2247,,,0.378,0.378,0.545,51.4,53.7,,6.1,0.505,18.3,,0.276
Creighton,https://www.sports-reference.com/cbb/schools/creighton/2007.html,0,2007,33,22,11,0.667,12.57,6.24,13,5,12,2,5,8,2220,2011,,,0.427,0.365,0.555,51.5,59.6,,4.9,0.507,17.3,,0.322
Davidson,https://www.sports-reference.com/cbb/schools/davidson/2007.html,0,2007,34,29,5,0.853,8.31,-2.26,17,1,13,1,10,3,2765,2336,,,0.307,0.412,0.559,54.4,57.7,,4.6,0.525,16.7,,0.231
Duke,https://www.sports-reference.com/cbb/schools/duke/2007.html,0,2007,33,22,11,0.667,18.85,10.49,8,8,15,4,5,4,2323,2047,,,0.398,0.296,0.557,53.7,52.7,,8.7,0.525,19.6,,0.274
Eastern Kentucky,https://www.sports-reference.com/cbb/schools/eastern-kentucky/2007.html,0,2007,33,21,12,0.636,-4.19,-5.28,13,7,11,3,8,8,2151,2089,,,0.281,0.448,0.561,46.7,61,,4.9,0.541,18.9,,0.191
Florida A&M,https://www.sports-reference.com/cbb/schools/florida-am/2007.html,0,2007,35,21,14,0.6,-9.73,-7.49,12,6,11,2,6,9,2467,2467,,,0.455,0.309,0.539,52.5,56.4,,3.1,0.505,21.4,,0.301
Florida,https://www.sports-reference.com/cbb/schools/florida/2007.html,6,2007,40,35,5,0.875,23.82,7.34,13,3,18,0,5,4,3193,2504,,,0.438,0.34,0.618,56.4,54.6,,8.4,0.596,18,,0.302
George Washington,https://www.sports-reference.com/cbb/schools/george-washington/2007.html,0,2007,32,23,9,0.719,5.61,0.64,11,5,13,1,6,5,2247,2067,,,0.34,0.258,0.538,50.6,56.1,,8.5,0.506,17.5,,0.238
Georgetown,https://www.sports-reference.com/cbb/schools/georgetown/2007.html,4,2007,37,30,7,0.811,19.62,9.48,13,3,14,3,9,3,2555,2146,,,0.365,0.348,0.596,54.3,59,,9.8,0.57,18.8,,0.26
Georgia Tech,https://www.sports-reference.com/cbb/schools/georgia-tech/2007.html,0,2007,32,20,12,0.625,17.17,9.36,8,8,17,1,1,8,2515,2222,,,0.342,0.283,0.567,54.3,52.5,,6.7,0.542,18.5,,0.233
Gonzaga,https://www.sports-reference.com/cbb/schools/gonzaga/2007.html,0,2007,34,23,11,0.676,12.15,3.77,11,3,12,2,6,5,2668,2383,,,0.394,0.302,0.582,52.7,52.7,,6.1,0.542,17.1,,0.296
Holy Cross,https://www.sports-reference.com/cbb/schools/holy-cross/2007.html,0,2007,34,25,9,0.735,3.32,-3.06,13,1,14,1,10,6,2171,1954,,,0.405,0.321,0.537,53.6,62.7,,7.8,0.492,20.5,,0.297
Illinois,https://www.sports-reference.com/cbb/schools/illinois/2007.html,0,2007,35,23,12,0.657,14.18,7.09,9,7,14,3,3,6,2245,1997,,,0.372,0.378,0.521,54,61.8,,5.7,0.498,18.6,,0.232
Indiana,https://www.sports-reference.com/cbb/schools/indiana/2007.html,1,2007,32,21,11,0.656,16.78,8.35,10,6,15,0,3,8,2246,1976,,,0.344,0.377,0.55,51.9,54.2,,8.9,0.518,16.2,,0.244
Jackson State,https://www.sports-reference.com/cbb/schools/jackson-state/2007.html,0,2007,35,21,14,0.6,-12.28,-9.94,12,6,8,2,8,10,2490,2572,,,0.36,0.294,0.505,48.2,53.4,,5.4,0.463,17.9,,0.256
Kansas,https://www.sports-reference.com/cbb/schools/kansas/2007.html,3,2007,38,33,5,0.868,22.62,6.86,14,2,16,2,8,2,2978,2344,,,0.362,0.261,0.567,54.6,58.9,,11.5,0.545,17,,0.239
Kentucky,https://www.sports-reference.com/cbb/schools/kentucky/2007.html,1,2007,34,22,12,0.647,17.12,11.41,9,7,14,2,4,6,2496,2302,,,0.369,0.348,0.568,52.3,60.3,,7.9,0.538,18.3,,0.26
Long Beach State,https://www.sports-reference.com/cbb/schools/long-beach-state/2007.html,0,2007,32,24,8,0.75,2.24,-2.07,12,2,12,1,9,5,2575,2408,,,0.35,0.365,0.554,49.4,50.1,,4.7,0.523,16.1,,0.246
Louisville,https://www.sports-reference.com/cbb/schools/louisville/2007.html,1,2007,34,24,10,0.706,16.08,7.69,12,4,16,4,6,2,2433,2144,,,0.374,0.386,0.531,51.4,58.6,,8.1,0.498,15.9,,0.253
Marquette,https://www.sports-reference.com/cbb/schools/marquette/2007.html,0,2007,34,24,10,0.706,14.14,6.95,10,6,16,4,6,4,2443,2207,,,0.401,0.334,0.526,52.4,55.8,,6.4,0.492,17.6,,0.269
Maryland,https://www.sports-reference.com/cbb/schools/maryland/2007.html,1,2007,34,25,9,0.735,19.06,7.59,10,6,17,3,6,4,2685,2295,,,0.387,0.25,0.558,51.3,60.5,,11,0.526,18.4,,0.269
Memphis,https://www.sports-reference.com/cbb/schools/memphis/2007.html,3,2007,37,33,4,0.892,19.72,3.91,16,0,19,0,9,2,2918,2333,,,0.424,0.352,0.54,53.6,52.4,,10.8,0.517,15.4,,0.263
Miami (OH),https://www.sports-reference.com/cbb/schools/miami-oh/2007.html,0,2007,33,18,15,0.545,4.81,2.78,10,6,11,2,3,11,1962,1895,,,0.318,0.325,0.545,49.7,58.5,,8.2,0.514,19.4,,0.226
Michigan State,https://www.sports-reference.com/cbb/schools/michigan-state/2007.html,1,2007,35,23,12,0.657,16.3,8.45,8,8,18,1,2,8,2276,2001,,,0.391,0.283,0.559,55.6,69.5,,9.3,0.522,20.4,,0.281
Nevada-Las Vegas,https://www.sports-reference.com/cbb/schools/nevada-las-vegas/2007.html,2,2007,37,30,7,0.811,12.98,5.37,12,4,19,1,8,5,2772,2470,,,0.333,0.364,0.543,49.8,56,,9.7,0.51,13.9,,0.238
Nevada,https://www.sports-reference.com/cbb/schools/nevada/2007.html,1,2007,34,29,5,0.853,10.58,1.09,14,2,15,1,10,2,2632,2296,,,0.324,0.318,0.582,54.6,60,,7.2,0.548,16.6,,0.245
New Mexico State,https://www.sports-reference.com/cbb/schools/new-mexico-state/2007.html,0,2007,34,25,9,0.735,5.04,0.01,11,5,19,1,6,7,2652,2462,,,0.516,0.271,0.564,53.4,52.1,,4.8,0.532,19.6,,0.339
Niagara,https://www.sports-reference.com/cbb/schools/niagara/2007.html,1,2007,35,23,12,0.657,-3.41,-4.7,13,5,9,6,9,4,2654,2609,,,0.388,0.376,0.527,52.6,52.5,,2.6,0.483,15.8,,0.283
North Carolina,https://www.sports-reference.com/cbb/schools/north-carolina/2007.html,3,2007,38,31,7,0.816,26.41,9.3,11,5,16,1,7,4,3258,2608,,,0.395,0.252,0.577,55.8,58.6,,7.5,0.544,15.6,,0.281
North Texas,https://www.sports-reference.com/cbb/schools/north-texas/2007.html,0,2007,34,23,11,0.676,-3.11,-6.59,10,8,13,3,7,7,2617,2420,,,0.404,0.3,0.541,53.7,46.4,,7.8,0.512,18.2,,0.266
Notre Dame,https://www.sports-reference.com/cbb/schools/notre-dame/2007.html,0,2007,32,24,8,0.75,16.94,4.97,11,5,18,0,4,5,2592,2176,,,0.403,0.388,0.575,52.9,63.5,,5.8,0.535,15.5,,0.3
Ohio State,https://www.sports-reference.com/cbb/schools/ohio-state/2007.html,5,2007,39,35,4,0.897,21.54,9.03,15,1,19,0,7,3,2905,2417,,,0.366,0.365,0.568,52.1,56.7,,9.7,0.538,14.8,,0.257
Old Dominion,https://www.sports-reference.com/cbb/schools/old-dominion/2007.html,0,2007,33,24,9,0.727,7.83,0.44,15,3,15,2,8,5,2290,2046,,,0.363,0.371,0.534,52.9,61.3,,6.6,0.495,15.9,,0.262
Oral Roberts,https://www.sports-reference.com/cbb/schools/oral-roberts/2007.html,0,2007,34,23,11,0.676,4.54,-1.04,12,2,12,2,6,8,2440,2206,,,0.468,0.32,0.565,53.3,55.7,,8.1,0.524,19.2,,0.333
Oregon,https://www.sports-reference.com/cbb/schools/oregon/2007.html,3,2007,37,29,8,0.784,15.95,6.3,11,7,16,2,6,5,2807,2450,,,0.328,0.421,0.57,51.5,53.3,,3.6,0.534,15.8,,0.249
Pennsylvania,https://www.sports-reference.com/cbb/schools/pennsylvania/2007.html,0,2007,31,22,9,0.71,4.16,-1.64,13,1,12,3,9,4,2297,2100,,,0.384,0.304,0.567,49.8,64.5,,5.4,0.543,17.6,,0.255
Pittsburgh,https://www.sports-reference.com/cbb/schools/pittsburgh/2007.html,2,2007,37,29,8,0.784,16.99,8.53,12,4,16,2,8,3,2637,2324,,,0.361,0.294,0.553,53.5,67.3,,6.6,0.529,15.6,,0.239
Purdue,https://www.sports-reference.com/cbb/schools/purdue/2007.html,1,2007,34,22,12,0.647,14.65,8.89,9,7,16,1,2,8,2376,2154,,,0.379,0.335,0.549,50.9,55.2,,5.1,0.519,18,,0.257
Southern California,https://www.sports-reference.com/cbb/schools/southern-california/2007.html,2,2007,37,25,12,0.676,13.78,7.87,11,7,15,3,4,6,2656,2413,,,0.392,0.263,0.563,50,49.9,,6.8,0.528,18.6,,0.28
Southern Illinois,https://www.sports-reference.com/cbb/schools/southern-illinois/2007.html,2,2007,36,29,7,0.806,13.59,7.53,15,3,13,0,10,4,2266,2023,,,0.439,0.36,0.551,51.4,54.3,,7.4,0.514,19.7,,0.304
Stanford,https://www.sports-reference.com/cbb/schools/stanford/2007.html,0,2007,31,18,13,0.581,11.16,9.06,10,8,12,5,5,6,2156,2081,,,0.36,0.287,0.53,54.2,59.1,,10.4,0.498,18.4,,0.245
Tennessee,https://www.sports-reference.com/cbb/schools/tennessee/2007.html,2,2007,35,24,11,0.686,14.97,9.15,10,6,16,0,3,7,2831,2627,,,0.379,0.409,0.548,49.2,55.7,,5.4,0.523,16.1,,0.248
Texas A&M-Corpus Christi,https://www.sports-reference.com/cbb/schools/texas-am-corpus-christi/2007.html,0,2007,33,26,7,0.788,3.07,-4.8,14,2,13,1,8,5,2615,2302,,,0.485,0.274,0.608,54.9,65.2,,5.2,0.577,20,,0.343
Texas A&M,https://www.sports-reference.com/cbb/schools/texas-am/2007.html,2,2007,34,27,7,0.794,21.27,5.13,13,3,18,1,7,3,2570,2021,,,0.413,0.28,0.589,53.6,65.1,,6.2,0.557,16,,0.296
Texas Tech,https://www.sports-reference.com/cbb/schools/texas-tech/2007.html,0,2007,34,21,13,0.618,9.71,7.16,9,7,13,3,6,5,2437,2349,,,0.397,0.272,0.552,46.5,53.7,,3.3,0.509,15.2,,0.293
Texas,https://www.sports-reference.com/cbb/schools/texas/2007.html,1,2007,35,25,10,0.714,15.6,6.12,12,4,15,1,6,5,2860,2528,,,0.393,0.366,0.557,51.4,49.7,,9,0.516,14.5,,0.289
UCLA,https://www.sports-reference.com/cbb/schools/ucla/2007.html,4,2007,36,30,6,0.833,20.9,9.84,15,3,16,0,6,4,2503,2081,,,0.328,0.332,0.563,52.4,54.9,,6.4,0.543,16.5,,0.217
Vanderbilt,https://www.sports-reference.com/cbb/schools/vanderbilt/2007.html,2,2007,34,22,12,0.647,12.76,7.79,10,6,14,3,5,6,2594,2387,,,0.324,0.425,0.567,48.4,63.9,,4.8,0.536,15.6,,0.236
Villanova,https://www.sports-reference.com/cbb/schools/villanova/2007.html,0,2007,33,22,11,0.667,16.13,9.16,9,7,10,4,9,4,2392,2132,,,0.417,0.385,0.546,53.3,54.1,,6.3,0.492,17.1,,0.325
Virginia Commonwealth,https://www.sports-reference.com/cbb/schools/virginia-commonwealth/2007.html,1,2007,35,28,7,0.8,9.5,0.2,16,2,15,2,11,2,2626,2298,,,0.404,0.309,0.559,50.9,52.7,,5.9,0.519,14.4,,0.294
Virginia Tech,https://www.sports-reference.com/cbb/schools/virginia-tech/2007.html,1,2007,34,22,12,0.647,14.35,8.26,10,6,13,2,5,6,2428,2181,,,0.394,0.237,0.54,49.6,50.7,,8.7,0.511,14.2,,0.26
Virginia,https://www.sports-reference.com/cbb/schools/virginia/2007.html,1,2007,32,21,11,0.656,12.89,7.96,11,5,16,1,4,6,2463,2267,,,0.422,0.38,0.552,53.1,50.7,,5.4,0.506,16.4,,0.313
Washington State,https://www.sports-reference.com/cbb/schools/washington-state/2007.html,1,2007,34,26,8,0.765,13.33,6,13,5,12,2,8,4,2273,2024,,,0.334,0.297,0.552,48.2,57.1,,8.8,0.52,14.7,,0.239
Weber State,https://www.sports-reference.com/cbb/schools/weber-state/2007.html,0,2007,32,20,12,0.625,-4.03,-3.33,11,5,13,2,6,8,2266,2214,,,0.511,0.289,0.577,50.7,56.6,,4.3,0.546,20.8,,0.343
Winthrop,https://www.sports-reference.com/cbb/schools/winthrop/2007.html,1,2007,34,29,5,0.853,9.17,-1.2,14,0,15,0,12,3,2545,2088,,,0.349,0.399,0.564,54.8,61.4,,6.9,0.549,16.5,,0.218
Wisconsin,https://www.sports-reference.com/cbb/schools/wisconsin/2007.html,1,2007,36,30,6,0.833,19.28,6.95,13,3,19,0,7,3,2527,2083,,,0.45,0.317,0.552,53.5,57,,6.2,0.515,15.1,,0.309
Wright State,https://www.sports-reference.com/cbb/schools/wright-state/2007.html,0,2007,33,23,10,0.697,1.94,-0.31,13,3,14,1,7,8,2125,2051,,,0.322,0.297,0.527,49.5,52.5,,2.9,0.489,16.5,,0.236
Xavier,https://www.sports-reference.com/cbb/schools/xavier/2007.html,1,2007,34,25,9,0.735,14.18,3.39,13,3,16,1,5,5,2595,2228,,,0.475,0.386,0.593,51.9,59.8,,6.3,0.551,16.4,,0.352
American,https://www.sports-reference.com/cbb/schools/american/2008.html,0,2008,33,21,12,0.636,-1.87,-4,10,4,11,4,10,7,2140,2049,,,0.413,0.402,0.564,52.2,55.9,,5.3,0.522,19.4,,0.305
Arizona,https://www.sports-reference.com/cbb/schools/arizona/2008.html,0,2008,34,19,15,0.559,14.55,10.22,8,10,11,6,6,7,2443,2276,,,0.406,0.321,0.58,48.8,62.4,,6.3,0.54,16.4,,0.304
Arkansas,https://www.sports-reference.com/cbb/schools/arkansas/2008.html,1,2008,35,23,12,0.657,12.48,6.73,9,7,15,1,2,7,2593,2392,,,0.379,0.303,0.549,53.1,54,,9.3,0.519,18.4,,0.257
Austin Peay,https://www.sports-reference.com/cbb/schools/austin-peay/2008.html,0,2008,35,24,11,0.686,-2.21,-5.24,16,4,13,1,9,8,2590,2477,,,0.443,0.373,0.558,48,58.6,,4,0.517,15.9,,0.317
Baylor,https://www.sports-reference.com/cbb/schools/baylor/2008.html,0,2008,32,21,11,0.656,11.46,5.75,9,7,12,4,6,4,2601,2396,,,0.359,0.367,0.561,49.9,43.2,,7.2,0.524,14.8,,0.267
