schoolnames,schoolurls,schoolwins,year,games,overallwins,overalllosses,winlosspct,srs,sos,wins_conf,losses_conf,wins_home,losses_home,wins_visitor,losses_visitor,pts,opp_pts,pace,off_rtg,fta_per_fga_pct,fg3a_per_fga_pct,ts_pct,trb_pct,ast_pct,stl_pct,blk_pct,efg_pct,tov_pct,orb_pct,ft_rate0
Pennsylvania,https://www.sports-reference.com/cbb/schools/pennsylvania/1993.html,0,1993,27,22,5,0.815,6.27,-3.14,14,0,,,,,1950,1686,,,0.306,0.306,0.531,50.8,55.7,,8.3,0.507,14.7,,0.204
Pittsburgh,https://www.sports-reference.com/cbb/schools/pittsburgh/1993.html,0,1993,28,17,11,0.607,9.74,9.06,9,9,,,,,2163,2144,,,0.418,0.238,0.526,52.8,54.2,,8.8,0.492,18.1,,0.276
Purdue,https://www.sports-reference.com/cbb/schools/purdue/1993.html,0,1993,28,18,10,0.643,12.96,9.63,9,9,,,,,1986,1898,,,0.393,0.19,0.555,50.6,59.9,,5.3,0.519,18.8,,0.278
Rhode Island,https://www.sports-reference.com/cbb/schools/rhode-island/1993.html,1,1993,30,19,11,0.633,9.5,6.4,8,6,,,,,2317,2224,,,0.453,0.268,0.531,51.5,50.7,,6.9,0.484,16.4,,0.324
Rider,https://www.sports-reference.com/cbb/schools/rider/1993.html,0,1993,30,19,11,0.633,-5.61,-8.28,14,4,,,,,2202,2122,,,0.463,0.22,0.558,50,53.5,,7.1,0.52,18.6,,0.321
Santa Clara,https://www.sports-reference.com/cbb/schools/santa-clara/1993.html,1,1993,31,19,12,0.613,1.41,0.24,9,5,,,,,2136,2057,,,0.425,0.332,0.53,51.5,62.1,,4.4,0.488,16.5,,0.298
Seton Hall,https://www.sports-reference.com/cbb/schools/seton-hall/1993.html,1,1993,35,28,7,0.8,19.48,9.07,14,4,,,,,2725,2342,,,0.466,0.262,0.575,51.8,58.6,,10.6,0.526,17.3,,0.352
Southern Illinois,https://www.sports-reference.com/cbb/schools/southern-illinois/1993.html,0,1993,33,23,10,0.697,9.33,2.14,12,6,,,,,2545,2276,,,0.416,0.215,0.539,54.7,48.9,,9.3,0.501,17.2,,0.288
Southern Methodist,https://www.sports-reference.com/cbb/schools/southern-methodist/1993.html,0,1993,28,20,8,0.714,6.81,3.15,12,2,,,,,2272,2131,,,0.358,0.292,0.496,51.1,54,,8.1,0.474,13.6,,0.213
Southern,https://www.sports-reference.com/cbb/schools/southern/1993.html,1,1993,31,21,10,0.677,2.01,-7.48,9,5,,,,,3011,2650,,,0.406,0.286,0.543,51.2,49.9,,7.8,0.518,16.6,,0.26
St. John's (NY),https://www.sports-reference.com/cbb/schools/st-johns-ny/1993.html,1,1993,30,19,11,0.633,13.16,9.49,12,6,,,,,2261,2152,,,0.466,0.141,0.54,52.1,57.3,,5.7,0.504,17.9,,0.31
Temple,https://www.sports-reference.com/cbb/schools/temple/1993.html,3,1993,33,20,13,0.606,12.93,10.23,8,6,,,,,2285,2196,,,0.375,0.302,0.516,48.4,43.3,,8.4,0.488,13.1,,0.24
Tennessee State,https://www.sports-reference.com/cbb/schools/tennessee-state/1993.html,0,1993,29,19,10,0.655,-1.13,-4.56,13,3,,,,,2282,2206,,,0.364,0.31,0.539,51.6,58.4,,9.9,0.517,16.9,,0.232
Texas Tech,https://www.sports-reference.com/cbb/schools/texas-tech/1993.html,0,1993,30,18,12,0.6,2.91,1.56,6,8,,,,,2405,2325,,,0.447,0.291,0.562,52.7,61.5,,5.6,0.53,18.1,,0.304
Tulane,https://www.sports-reference.com/cbb/schools/tulane/1993.html,1,1993,31,22,9,0.71,8.13,2.39,9,3,,,,,2352,2155,,,0.418,0.203,0.511,51.1,55.3,,8.2,0.481,17.2,,0.264
UCLA,https://www.sports-reference.com/cbb/schools/ucla/1993.html,1,1993,33,22,11,0.667,11.35,9.05,11,7,,,,,2587,2511,,,0.381,0.165,0.559,51.8,53.6,,11.7,0.532,19,,0.256
Utah,https://www.sports-reference.com/cbb/schools/utah/1993.html,1,1993,31,24,7,0.774,13.34,2.27,15,3,,,,,2391,2039,,,0.344,0.263,0.587,53.4,62.5,,9.2,0.547,16.3,,0.272
